network_code,receiver_code,stw_start_time,stalta_Z,sta_Z,stalta_N,sta_N,stalta_E,sta_E,label
PB,B082,2016-01-20T21:40:56.060000Z,1.481972253,5.03E-09,1.642559939,5.14E-09,1.58371542,4.61E-09,E
NN,LHV,2018-01-14T01:25:45.156280Z,0.5362226,1.34E-07,0.574712367,1.26E-07,1.722030352,4.75E-07,E
GS,KAN13,2014-11-14T05:45:33.500000Z,5.924246185,2.70E-06,8.676113024,5.20E-06,6.92542944,3.79E-06,E
NN,LHV,2014-06-01T01:08:07.779380Z,1.249019452,9.59E-08,1.153929687,9.97E-08,0.647808692,8.90E-08,E
NN,BEK,2011-11-21T21:24:11.534430Z,1.025791946,1.12E-07,0.520971885,1.17E-07,0.715841614,1.76E-07,E
AK,CNP,2012-07-25T02:04:34.530000Z,3.88946262,8.84E-07,8.039418391,6.03E-07,3.352530681,6.77E-07,E
PB,B921,2010-10-12T16:06:17.810000Z,51.77184604,1.52E-07,50.53973882,1.46E-07,58.4206431,1.63E-07,E
NN,RYN,2016-04-23T10:41:11.115580Z,0.744154228,1.57E-07,0.431166588,1.00E-07,0.849543107,2.37E-07,E
AZ,KNW,2016-12-11T21:19:24.100000Z,0.897126094,2.05E-07,1.113592303,5.24E-07,1.419241376,3.52E-07,E
PB,B087,2010-12-05T19:03:54.030000Z,3.021402439,9.39E-09,3.117472778,8.36E-09,2.900987445,9.23E-09,E
AZ,FRD,2015-10-04T13:09:25.580000Z,1.588677517,4.34E-07,1.24594236,3.56E-07,1.759723859,3.08E-07,E
PB,B082,2008-08-17T06:36:03.540000Z,5.843269559,1.75E-08,6.410272076,1.76E-08,6.393783556,1.76E-08,E
NN,LHV,2017-10-25T15:15:22.570470Z,1.2431196,2.96E-07,1.170089668,3.94E-07,0.8877336,2.91E-07,E
NN,OMMB,2012-08-30T06:31:46.660000Z,5.945395119,3.41E-07,8.891726003,4.60E-07,7.006467456,4.03E-07,E
PB,B087,2013-03-14T23:35:23.080000Z,5.632995017,2.09E-08,5.133959096,1.74E-08,5.181606821,1.94E-08,E
PB,B916,2013-11-02T19:52:52.920000Z,9.478021631,2.74E-08,12.40160913,3.18E-08,12.24285609,3.02E-08,E
NN,OMMB,2013-10-22T02:20:50.000000Z,1.242246222,1.55E-07,1.660346888,1.38E-07,1.132612931,1.13E-07,E
PB,B941,2012-02-03T01:34:25.260000Z,47.94701301,2.12E-07,49.97083622,1.76E-07,45.48262631,1.76E-07,E
CI,MPM,2015-02-22T22:23:14.620000Z,2.105348427,2.88E-07,2.40696455,3.09E-07,2.084439972,3.38E-07,E
PB,B082,2013-06-16T16:25:27.390000Z,2.682003507,7.36E-09,3.406364461,8.80E-09,2.884407713,7.12E-09,E
GS,MT02,2017-07-14T08:15:59.450000Z,31.1529012,1.24E-06,23.14094696,1.84E-06,34.07370538,1.92E-06,E
PB,B082,2011-08-29T12:25:03.150000Z,4.780457097,1.53E-08,4.692763305,1.47E-08,4.846868638,1.41E-08,E
NN,PEA,2015-12-23T08:24:50.861740Z,30.86955885,5.72E-07,38.02177848,8.06E-07,38.95596292,9.14E-07,E
ZQ,AAM1,2007-08-14T17:33:55.760000Z,0.7368181,6.77E-07,0.905176648,7.88E-07,0.900695396,8.93E-07,E
AK,KTH,2018-05-05T16:18:27.131000Z,3.695473983,6.73E-07,3.994634972,5.44E-07,4.385817782,5.12E-07,E
AK,KOTZ,2017-11-20T14:15:15.141000Z,1.589930158,1.02E-06,1.30757146,3.61E-06,1.164383454,3.88E-06,E
NN,OMMB,2012-05-23T15:24:57.310000Z,1.279569082,1.75E-07,0.925934514,2.03E-07,1.1440581,2.88E-07,E
AV,AKMO,2017-05-14T18:53:30.324000Z,1.029528498,3.37E-07,0.689280313,2.32E-07,0.814298693,6.58E-07,E
NN,BEK,2015-10-05T05:59:32.930700Z,0.964626266,1.39E-07,1.020564376,1.22E-07,2.458561876,2.29E-07,E
PB,B082,2013-04-28T14:51:56.850000Z,2.31589747,6.27E-09,2.753929761,6.90E-09,2.458243695,5.83E-09,E
PB,B916,2014-09-13T05:02:18.270000Z,50.59756214,1.39E-07,58.05257152,1.44E-07,58.80457808,1.58E-07,E
OK,GC02,2017-06-21T15:42:14.070000Z,5.937747047,8.33E-07,5.279332555,1.10E-06,5.456618011,1.27E-06,E
AV,TAFP,2017-07-17T04:37:14.085000Z,2.378052354,1.03E-07,1.78493793,1.20E-07,1.818685323,1.18E-07,E
PB,B086,2014-02-25T05:20:14.390000Z,5.994396426,1.26E-07,4.176026763,1.44E-07,2.143429697,1.80E-07,E
CC,STD,2018-01-03T08:44:14.250000Z,18.54395506,7.69E-06,54.41797302,1.41E-05,47.08136089,1.29E-05,E
PB,B082,2008-02-27T08:35:51.110000Z,4.96519909,1.61E-08,5.037403363,1.40E-08,5.744031744,1.52E-08,E
AZ,CRY,2015-11-09T05:35:17.590000Z,8.152188114,1.62E-06,7.739622767,1.40E-06,10.49551454,1.50E-06,E
PB,B093,2013-03-23T06:54:23.250000Z,3.571950021,1.12E-08,4.004155216,1.18E-08,3.934290046,1.24E-08,E
PB,B087,2014-09-22T03:11:02.960000Z,26.30451908,8.01E-08,4.133754445,9.01E-08,14.26228913,7.59E-08,E
AK,KTH,2012-08-10T22:37:13.280000Z,3.808875714,1.55E-07,1.350127127,1.82E-07,1.13303023,1.86E-07,E
NN,RYN,2013-11-04T09:15:56.406180Z,1.305107935,1.10E-07,1.013738727,1.35E-07,1.008857296,1.45E-07,E
NN,BEK,2016-10-10T02:24:47.546860Z,0.789891123,8.37E-08,1.431768366,1.04E-07,1.312680937,1.27E-07,E
NN,DON,2016-02-22T08:00:03.818860Z,2.545200915,2.06E-08,2.004326277,1.98E-08,3.026932773,2.24E-08,E
ZQ,AAM2,2007-01-20T01:41:30.170000Z,0.812012575,1.90E-07,1.681181678,3.52E-07,1.275464588,2.93E-07,E
BK,SAO,2013-06-21T17:54:09.420000Z,1.165232203,2.20E-07,1.680267216,2.97E-07,1.854144648,3.59E-07,E
PB,B086,2013-04-06T14:40:22.410000Z,5.3361612,8.64E-08,8.091121137,8.48E-08,2.568472538,1.10E-07,E
AK,WAT7,2018-05-04T00:46:49.630000Z,0.968716121,1.07E-07,1.858466888,1.27E-07,1.241230549,1.08E-07,E
AK,PAX,2018-07-04T05:24:42.700000Z,1.402691125,5.38E-08,1.284874619,5.20E-08,1.451339354,4.99E-08,E
BK,SAO,2014-08-06T07:51:59.590000Z,0.940120325,1.10E-07,1.864292016,1.95E-07,1.372752972,1.52E-07,E
AK,CCB,2016-11-06T20:35:06.770000Z,1.361367307,1.78E-07,2.143632128,2.16E-07,1.904795073,2.33E-07,E
AV,SPCG,2018-03-01T19:43:59.960000Z,0.50160078,2.55E-07,0.580547013,8.65E-07,0.621375913,4.33E-07,E
HV,DESD,2017-02-28T19:57:08.700000Z,3.454886492,4.31E-07,1.609184534,5.59E-07,1.216406995,6.15E-07,E
AV,SSLS,2011-11-30T16:26:45.396000Z,3.395936508,1.65E-06,3.750182457,1.49E-06,3.022017159,1.53E-06,E
CI,DGR,2015-03-26T11:05:34.970000Z,0.868258616,1.75E-07,0.978370999,1.46E-07,1.281509772,1.98E-07,E
PB,B084,2015-11-28T14:39:51.900000Z,2.241814428,4.75E-09,1.531335033,4.08E-09,1.552476995,4.50E-09,E
TA,I23K,2017-12-13T04:15:15.230000Z,0.603756554,1.23E-07,1.248102733,3.29E-07,0.783962948,1.87E-07,E
PB,B087,2013-03-20T03:30:44.100000Z,3.366489228,9.88E-09,3.153501443,9.38E-09,3.443769089,1.02E-08,E
PB,B093,2017-06-07T23:07:10.760000Z,3.082658808,8.92E-09,1.109900379,2.86E-08,0.928470061,2.62E-08,E
NN,KVN,2016-01-22T10:39:16.541180Z,1.37603267,4.22E-07,1.149426992,5.30E-07,2.307387634,8.68E-07,E
ZQ,AAM2,2007-03-31T21:42:43.710000Z,0.942568862,2.47E-07,0.499607198,1.04E-07,1.201106791,2.57E-07,E
PB,B950,2017-07-19T10:29:33.500000Z,3.36948125,4.75E-08,4.307478038,4.98E-08,3.753515447,4.57E-08,E
ZQ,AAM2,2007-02-01T08:02:44.420000Z,0.97721267,2.61E-07,0.442115504,3.87E-07,1.068762132,5.78E-06,E
PB,B082,2016-09-12T22:22:17.020000Z,2.371738579,9.85E-09,2.738788684,9.23E-09,3.156482679,9.09E-09,E
AZ,BZN,2016-05-31T07:20:04.870000Z,1.647358991,2.12E-07,1.073494888,2.28E-07,0.676285299,1.77E-07,E
NN,LHV,2015-10-19T11:01:01.721510Z,4.20559148,4.38E-07,4.17205034,6.17E-07,3.345889372,5.73E-07,E
PB,B087,2017-12-15T04:47:51.730000Z,4.824622748,1.86E-08,2.262822528,3.03E-08,3.326271382,1.81E-08,E
AV,CRP,2011-12-09T21:09:38.944000Z,4.781815923,2.98E-08,6.256066321,4.16E-08,6.939812255,4.00E-08,E
PB,B086,2008-07-21T23:06:39.410000Z,5.365555817,1.95E-08,4.475339492,1.60E-08,5.443881037,1.93E-08,E
NN,OMMB,2014-12-22T00:26:05.650000Z,0.80865568,2.18E-07,1.206225133,2.48E-07,0.769904781,1.74E-07,E
PB,B081,2015-07-13T06:52:49.510000Z,2.046921631,5.27E-09,3.838488576,9.05E-09,2.384079448,5.58E-09,E
AK,CCB,2012-01-30T17:30:34.130000Z,1.930164582,2.13E-07,2.795741809,2.82E-07,0.954392762,2.20E-07,E
PB,B084,2015-02-10T07:06:02.570000Z,2.8669989,6.29E-09,2.176905356,5.75E-09,2.084810461,6.34E-09,E
PB,B082,2014-12-14T09:50:19.600000Z,1.710202203,6.10E-09,1.503770065,5.58E-09,1.619550126,5.31E-09,E
GS,KAN10,2015-03-21T12:18:17.940000Z,3.424122081,6.73E-07,2.394666679,8.83E-07,5.243007031,9.39E-07,E
PB,B047,2013-03-11T00:20:48.340000Z,40.83392176,4.98E-07,46.66681829,6.27E-07,39.45728411,5.67E-07,E
PB,B081,2014-05-03T04:54:22.360000Z,12.08788702,3.69E-08,21.04170765,6.47E-08,14.53986402,3.89E-08,E
PB,B084,2012-04-05T01:24:16.980000Z,17.03271109,4.74E-08,11.73185417,3.34E-08,11.71241789,3.65E-08,E
PB,B093,2013-03-12T07:33:37.880000Z,3.319304402,1.01E-08,3.370158342,9.17E-09,3.692255052,1.02E-08,E
HV,STCD,2017-07-13T04:48:44.560000Z,8.047179921,5.23E-06,6.58314318,8.29E-06,10.43404482,1.12E-05,E
AZ,MONP2,2011-02-12T04:59:55.460000Z,1.733642907,3.80E-07,1.965559198,3.61E-07,2.279394615,3.86E-07,E
PB,B084,2012-07-29T10:44:07.160000Z,2.774670662,6.22E-09,1.820309178,4.38E-09,1.621509346,4.25E-09,E
PB,B082,2014-10-23T05:10:11.110000Z,14.36803255,4.48E-08,17.27829046,4.75E-08,16.13728003,4.62E-08,E
AK,RKAV,2017-10-28T09:08:50.725000Z,0.755862996,4.87E-07,0.962019987,6.75E-07,1.240429901,8.24E-07,E
PB,B093,2016-12-23T07:16:19.790000Z,23.56755034,1.08E-07,1.737577513,1.13E-07,0.400221018,2.82E-08,E
GS,KAN17,2017-01-23T00:44:18.660000Z,13.63358843,4.72E-06,18.54466029,1.12E-05,18.41344473,7.20E-06,E
PB,B082,2013-09-09T15:05:29.590000Z,6.787866993,1.95E-08,7.550919006,2.04E-08,8.667245556,2.31E-08,E
NN,WAK,2017-04-09T21:17:27.858890Z,0.437074963,6.50E-08,1.012725286,1.48E-07,0.936192656,1.53E-07,E
PB,B082,2017-06-22T22:00:04.920000Z,4.96541432,2.14E-08,5.198967033,2.26E-08,5.413187003,2.34E-08,E
PB,B084,2014-03-16T10:25:15.050000Z,3.919783871,8.25E-09,3.002282732,6.76E-09,1.983937179,7.36E-09,E
PB,B084,2015-07-15T14:31:11.260000Z,8.109297015,2.14E-08,5.554869837,1.78E-08,4.862798353,1.73E-08,E
NN,RYN,2018-01-27T12:08:25.113690Z,1.009398789,1.84E-07,1.388280768,2.09E-07,1.225579694,2.26E-07,E
PB,B082,2013-05-23T20:38:27.340000Z,2.576076264,1.22E-08,2.65368574,1.09E-08,3.285389806,1.17E-08,E
PB,B916,2013-09-10T22:59:09.580000Z,28.44732679,7.85E-08,38.7043171,1.04E-07,27.50890925,7.48E-08,E
PB,B084,2010-12-17T11:42:54.060000Z,11.7248782,2.77E-08,7.305074318,2.13E-08,6.343517829,2.05E-08,E
PB,B916,2017-10-10T13:00:07.940000Z,1.900479722,4.88E-09,2.08540658,5.08E-09,2.062818653,5.10E-09,E
HV,ALEP,2015-06-22T08:40:50.840000Z,13.15599454,2.42E-07,12.38325233,4.57E-07,14.06586124,5.27E-07,E
SN,BTW,2014-01-16T01:35:30.627100Z,20.10947464,8.90E-08,31.60123764,1.42E-07,25.5430373,1.27E-07,E
CI,MLAC,2017-01-23T06:30:08.270000Z,1.551158374,5.35E-07,1.002251863,1.07E-06,1.128609949,1.41E-06,E
PB,B082,2017-01-14T14:37:37.070000Z,6.696978587,1.91E-08,7.391152056,2.12E-08,7.902479047,2.08E-08,E
N4,V51A,2017-06-20T21:20:41.560000Z,1.254358432,1.12E-07,2.487258706,1.85E-07,2.677019583,2.26E-07,E
TA,M12A,2008-06-12T00:32:35.907820Z,2.140855647,1.49E-07,1.383990833,1.47E-07,2.406419826,1.77E-07,E
CI,MLAC,2017-07-15T09:30:06.550000Z,5.153208927,5.50E-07,2.214276671,5.90E-07,2.424107183,7.94E-07,E
PB,B082,2018-03-05T06:19:50.660000Z,1.466071995,4.24E-09,1.27134559,3.83E-09,1.367582654,3.92E-09,E
HV,NAGD,2016-05-13T12:28:48.410000Z,1.746216616,4.21E-08,1.720555891,7.00E-08,1.458481189,6.03E-08,E
PB,B084,2015-05-30T06:23:47.830000Z,17.08615743,3.79E-08,11.98614007,2.80E-08,7.033294877,2.51E-08,E
AZ,RDM,2018-03-27T09:00:58.470000Z,0.911400993,3.77E-07,1.604132519,3.88E-07,1.20974923,3.44E-07,E
PB,B084,2008-06-01T09:19:48.900000Z,10.24492549,2.37E-08,6.201850043,1.71E-08,6.296572553,1.71E-08,E
AK,SSN,2012-12-04T22:49:26.500000Z,1.189109015,4.09E-07,1.185756642,7.32E-07,1.119803061,8.03E-07,E
PB,B086,2015-02-11T10:52:11.860000Z,1.370907987,5.85E-09,1.912430459,4.46E-09,1.838691411,4.99E-09,E
HV,AHUD,2018-06-08T04:09:08.530000Z,11.48539074,6.50E-06,5.986611191,1.56E-05,6.450796657,1.31E-05,E
HV,JOKA,2017-12-09T21:45:10.430000Z,1.502946535,2.26E-06,1.132154555,3.48E-06,1.213784222,2.27E-06,E
AZ,KNW,2011-12-19T23:08:48.220000Z,0.948597574,2.54E-07,1.467090019,2.10E-07,1.076355624,1.08E-07,E
NN,LCH,2015-06-17T22:23:45.062230Z,2.517532219,1.30E-07,1.110095732,1.97E-07,1.214260007,9.27E-08,E
AZ,KNW,2012-06-28T05:29:43.130000Z,1.481886207,1.40E-07,1.323909278,1.90E-07,1.17843276,1.32E-07,E
AV,KAKN,2011-06-05T20:40:46.931000Z,13.02621279,1.85E-06,21.25458671,3.09E-06,6.482213065,3.14E-06,E
AK,MCK,2012-08-31T12:56:08.820000Z,1.460750097,8.83E-08,1.585753017,1.19E-07,1.247657592,1.40E-07,E
SN,HEL,2017-07-07T00:45:12.459880Z,1.022854523,4.12E-08,1.189437854,4.22E-08,0.939663539,6.15E-08,E
PB,B945,2018-02-15T06:40:57.920000Z,2.741090611,1.55E-08,6.843618543,3.57E-08,8.941650413,3.93E-08,E
NN,WVA,2017-06-16T17:36:46.645990Z,33.6300862,1.86E-07,27.91617751,1.83E-07,24.97034746,1.97E-07,E
HV,AHUD,2017-03-05T15:59:25.700000Z,34.93405129,9.82E-06,14.6236728,2.30E-05,16.47586334,1.94E-05,E
NN,RYN,2017-01-02T13:56:21.355320Z,1.089929848,2.41E-07,1.298396784,3.11E-07,1.565011436,4.11E-07,E
SN,SGR,2012-12-21T02:47:05.974410Z,16.52770112,1.78E-07,16.74210066,1.91E-07,16.45756667,1.70E-07,E
AK,KLU,2018-01-01T12:08:10.689000Z,0.689931669,4.39E-07,1.153133607,6.86E-07,1.209993347,5.25E-07,E
NN,LHV,2017-10-23T17:15:25.787240Z,1.165483669,4.33E-07,2.193882872,6.25E-07,0.55177746,3.91E-07,E
NN,OMMB,2017-09-17T12:28:52.740000Z,1.757871702,1.55E-07,2.612143911,2.02E-07,2.371599036,1.73E-07,E
PB,B082,2013-11-01T08:05:34.260000Z,39.40027682,9.38E-08,38.72103577,9.25E-08,35.36430988,7.74E-08,E
PB,B087,2008-07-12T02:43:14.900000Z,27.05740835,9.55E-08,26.97029888,8.17E-08,20.98625168,7.49E-08,E
HV,TOUO,2015-09-02T08:50:04.350000Z,0.722283498,2.78E-06,0.510554956,3.09E-06,0.493717037,3.12E-06,E
HV,PAUD,2017-05-17T09:41:58.200000Z,14.47032892,1.34E-05,7.01399555,2.28E-05,14.05117387,1.58E-05,E
PB,B082,2014-04-16T09:58:09.830000Z,7.004744391,1.69E-08,5.742045465,1.50E-08,5.621816579,1.27E-08,E
HV,ALEP,2016-08-21T09:04:44.260000Z,4.132936857,6.93E-08,3.273395641,1.22E-07,4.645208737,1.63E-07,E
GS,KAN08,2015-05-05T21:25:53.790000Z,14.71528073,3.13E-06,11.04701143,9.33E-06,14.40023838,1.14E-05,E
HV,HSSD,2016-06-03T15:02:41.480000Z,0.912633407,1.00E-06,1.256720761,1.59E-06,1.857761001,1.94E-06,E
AK,KLU,2012-07-10T07:14:53.220000Z,1.323551562,1.01E-07,1.376607165,6.13E-08,1.518126003,6.16E-08,E
NN,LHV,2016-12-31T14:01:01.910640Z,0.545237347,9.95E-08,0.703006985,2.21E-07,1.899447644,3.74E-07,E
PB,B918,2012-12-13T02:03:21.670000Z,8.892270095,2.16E-08,5.683598874,1.48E-08,5.831368138,1.53E-08,E
HV,AIND,2015-10-29T03:57:12.390000Z,0.533665697,2.10E-06,2.31786859,1.20E-05,0.809840384,3.88E-06,E
PB,B082,2012-02-01T00:37:30.690000Z,9.50484442,2.91E-08,6.903368619,2.12E-08,6.632038857,1.85E-08,E
AZ,CRY,2015-11-24T09:48:09.990000Z,1.304300643,1.25E-07,1.042739676,1.19E-07,1.196150241,2.14E-07,E
SN,HEL,2017-06-01T03:34:03.897750Z,1.582807989,7.72E-08,0.63820633,1.18E-07,0.702205619,1.21E-07,E
PB,B916,2012-12-07T02:11:55.840000Z,2.40681749,6.53E-09,2.975492201,7.33E-09,2.50515049,6.12E-09,E
AZ,RDM,2015-05-30T13:17:39.050000Z,1.067481744,1.43E-06,1.104549535,1.55E-06,0.738382112,8.58E-07,E
PB,B203,2013-08-10T20:21:44.730000Z,4.569563884,1.73E-08,5.413416348,1.92E-08,5.64189584,1.66E-08,E
NN,RYN,2017-01-22T01:48:54.646130Z,1.219995393,5.08E-07,2.031261786,6.44E-07,1.560043014,9.80E-07,E
PB,B084,2008-02-14T04:43:22.240000Z,21.07593447,5.20E-08,12.54094889,3.73E-08,15.01833431,4.05E-08,E
PB,B921,2013-05-04T02:12:46.300000Z,18.66888047,7.90E-08,23.73759917,8.28E-08,25.54671666,7.97E-08,E
PB,B084,2011-02-03T03:19:22.040000Z,12.87402449,3.27E-08,8.980505423,2.46E-08,6.983853545,2.36E-08,E
SN,SGR,2014-09-12T23:54:13.922210Z,2.075475584,1.07E-08,2.225471651,1.03E-08,2.130849067,9.43E-09,E
PB,B084,2011-05-16T13:12:55.200000Z,20.0461221,5.67E-08,12.5874049,4.06E-08,11.70911541,4.16E-08,E
AZ,MONP2,2017-02-06T16:59:54.280000Z,1.144815811,1.95E-07,1.016135709,2.17E-07,1.182647941,2.36E-07,E
AZ,KNW,2018-07-22T21:11:59.610000Z,2.366504346,3.36E-07,1.121642627,5.81E-07,1.340590017,3.62E-07,E
ET,CPRT,2012-01-08T01:11:20.590000Z,6.457439382,2.78E-06,6.346556299,3.62E-06,5.369002733,2.76E-06,E
NN,LHV,2016-08-07T04:56:16.928300Z,0.869370572,5.16E-08,1.035919918,7.20E-08,1.559058592,1.59E-07,E
PB,B084,2013-09-28T11:16:49.980000Z,33.36445679,8.26E-08,17.48790658,5.81E-08,15.57938596,5.74E-08,E
PB,B075,2014-07-27T07:44:06.940000Z,2.108303667,1.30E-08,2.737157725,8.82E-09,3.296455139,7.91E-09,E
PB,B081,2015-04-30T16:51:21.360000Z,5.348167078,2.28E-08,7.746794176,4.24E-08,7.206174646,2.60E-08,E
PB,B208,2016-01-13T01:54:09.980000Z,23.21844253,9.40E-08,41.1522405,1.29E-07,21.92955626,8.07E-08,E
PB,B933,2014-09-04T23:51:34.700000Z,6.044180659,8.88E-08,8.719452353,9.58E-08,6.087643496,9.13E-08,E
NN,TVH3,2011-07-28T18:39:22.505470Z,4.241271787,4.61E-07,2.654924408,4.75E-07,2.648207808,4.18E-07,E
